iter	MultiClass
0	2.485178061
1	2.422387442
2	2.370127534
3	2.324460065
4	2.283684849
5	2.25001321
6	2.221172574
7	2.191882343
8	2.165534579
9	2.145650014
10	2.124600675
11	2.105875815
12	2.089021546
13	2.074177124
14	2.060763962
15	2.04662687
16	2.033518315
17	2.02115457
18	2.009552979
19	2.000581435
20	1.988939027
21	1.97822211
22	1.96878787
23	1.95970573
24	1.950027002
25	1.941913893
26	1.934487514
27	1.927402216
28	1.921552582
29	1.914663376
30	1.908059087
31	1.901588968
32	1.895606465
33	1.888335436
34	1.88349637
35	1.877981817
36	1.871541105
37	1.865570363
38	1.861128241
39	1.854680339
40	1.848774591
41	1.844353016
42	1.839248604
43	1.834596838
44	1.828919057
45	1.823939846
46	1.82006133
47	1.816319277
48	1.811369738
49	1.8072584
50	1.803161699
51	1.798878924
52	1.795188936
53	1.791492258
54	1.786178029
55	1.782238639
56	1.778116114
57	1.775114186
58	1.771818116
59	1.766969315
60	1.763207329
61	1.758676532
62	1.755187108
63	1.751132725
64	1.748248297
65	1.744146873
66	1.740093048
67	1.737552697
68	1.732798404
69	1.73073838
70	1.726073934
71	1.72173618
72	1.718641501
73	1.714645006
74	1.711129165
75	1.707603813
76	1.703502818
77	1.700278709
78	1.697456012
79	1.694403369
80	1.690858014
81	1.688061286
82	1.684796846
83	1.682180144
84	1.679268183
85	1.676513488
86	1.67397533
87	1.671289132
88	1.668022833
89	1.664885701
90	1.662109311
91	1.659652024
92	1.656578848
93	1.653938022
94	1.651661276
95	1.648172979
96	1.644708755
97	1.642460748
98	1.639942509
99	1.636974895
100	1.633930945
101	1.630855936
102	1.628292596
103	1.625480974
104	1.623333185
105	1.621808693
106	1.619295576
107	1.616779055
108	1.61444443
109	1.611937598
110	1.608534103
111	1.605328203
112	1.603002647
113	1.6013614
114	1.598618976
115	1.59608712
116	1.594015303
117	1.590816344
118	1.588874205
119	1.586779168
120	1.584622873
121	1.581830944
122	1.579700949
123	1.577260742
124	1.57512974
125	1.572941798
126	1.57130993
127	1.568699765
128	1.566945814
129	1.564913105
130	1.562205409
131	1.560083186
132	1.556652135
133	1.554820744
134	1.552488988
135	1.549671346
136	1.547156687
137	1.545362283
138	1.542642589
139	1.540071265
140	1.537131806
141	1.535690023
142	1.533613898
143	1.531572468
144	1.529549843
145	1.526905622
146	1.52430957
147	1.522329344
148	1.519832585
149	1.517645006
150	1.515747235
151	1.513766533
152	1.511519186
153	1.509746558
154	1.507643662
155	1.50531592
156	1.50327324
157	1.501316839
158	1.499323859
159	1.497593564
160	1.495339082
161	1.493859996
162	1.492482218
163	1.490028497
164	1.487295327
165	1.485891042
166	1.484176028
167	1.48179371
168	1.480228046
169	1.478423993
170	1.476035074
171	1.474523884
172	1.471999479
173	1.469966488
174	1.468124108
175	1.466584774
176	1.464704806
177	1.462464565
178	1.460990239
179	1.459249872
180	1.457465543
181	1.455721032
182	1.454323528
183	1.452946525
184	1.450963998
185	1.449323474
186	1.447926876
187	1.446119996
188	1.444351907
189	1.443021579
190	1.441804063
191	1.440058459
192	1.438607836
193	1.43705266
194	1.43538136
195	1.43357107
196	1.430655637
197	1.429189702
198	1.427645171
199	1.425880731
200	1.423471008
201	1.42194973
202	1.420167937
203	1.418615739
204	1.416423516
205	1.41503175
206	1.413451899
207	1.41194365
208	1.410324752
209	1.408766612
210	1.4070382
211	1.405217839
212	1.404019301
213	1.402646179
214	1.400996806
215	1.399272236
216	1.397431265
217	1.395679449
218	1.394512074
219	1.393110221
220	1.391806667
221	1.390567397
222	1.388832582
223	1.387521179
224	1.385503001
225	1.384048525
226	1.382593068
227	1.380871496
228	1.379696572
229	1.378019947
230	1.376528735
231	1.375452994
232	1.373617473
233	1.372656251
234	1.37085604
235	1.36973434
236	1.368086574
237	1.366541445
238	1.365801017
239	1.364040259
240	1.362980274
241	1.361435733
242	1.36029299
243	1.358585049
244	1.357173301
245	1.356081992
246	1.35505625
247	1.35351117
248	1.35175516
249	1.350048259
250	1.348819583
251	1.347652126
252	1.346780713
253	1.345722371
254	1.344795251
255	1.34341345
256	1.342428745
257	1.340812254
258	1.339516059
259	1.338091814
260	1.337002
261	1.336113254
262	1.334786601
263	1.333679222
264	1.332644666
265	1.331459327
266	1.330580077
267	1.328935459
268	1.327744528
269	1.325874405
270	1.324704516
271	1.323488101
272	1.322557028
273	1.321601176
274	1.320048993
275	1.319286322
276	1.317667518
277	1.31679213
278	1.315208212
279	1.313805979
280	1.312124781
281	1.310427028
282	1.309146157
283	1.3082374
284	1.306890893
285	1.306045133
286	1.305267837
287	1.303206233
288	1.301944874
289	1.300336281
290	1.298870078
291	1.297799316
292	1.296300769
293	1.295013238
294	1.293611082
295	1.292663827
296	1.291252987
297	1.290400053
298	1.289011622
299	1.28788572
300	1.28729295
301	1.286399453
302	1.285546226
303	1.283702894
304	1.28181026
305	1.280354188
306	1.279255752
307	1.277813876
308	1.277122923
309	1.275634356
310	1.27346529
311	1.272533345
312	1.270611151
313	1.269495744
314	1.267811147
315	1.266907883
316	1.266129186
317	1.26508833
318	1.264332263
319	1.262872501
320	1.26183444
321	1.260868286
322	1.259610723
323	1.258183184
324	1.257653741
325	1.256490692
326	1.255408914
327	1.254747598
328	1.253883725
329	1.252814272
330	1.251129833
331	1.250004533
332	1.248746969
333	1.248112456
334	1.247053637
335	1.246043808
336	1.244955557
337	1.243846063
338	1.243039888
339	1.241970556
340	1.240623257
341	1.239773288
342	1.238612454
343	1.237614529
344	1.236870295
345	1.236007424
346	1.234667759
347	1.234097363
348	1.233279019
349	1.231722311
350	1.230625902
351	1.229424955
352	1.228452592
353	1.227322176
354	1.226797935
355	1.225719286
356	1.224740317
357	1.223384746
358	1.222125318
359	1.220857171
360	1.219953855
361	1.218816461
362	1.217536107
363	1.216721024
364	1.215629709
365	1.214809608
366	1.213401406
367	1.212111302
368	1.210872031
369	1.209660387
370	1.208891882
371	1.208027578
372	1.20701344
373	1.205932347
374	1.205146974
375	1.204180659
376	1.203146844
377	1.202115291
378	1.201209089
379	1.200240945
380	1.19916051
381	1.198431397
382	1.196868081
383	1.196197545
384	1.194904676
385	1.193669115
386	1.192619337
387	1.1917232
388	1.190845041
389	1.190059957
390	1.189298857
391	1.188266929
392	1.187795523
393	1.186363498
394	1.184755544
395	1.184413588
396	1.183617322
397	1.182788765
398	1.181576522
399	1.180843152
400	1.179844133
401	1.179061765
402	1.178176715
403	1.177565397
404	1.176613636
405	1.17550115
406	1.174622819
407	1.173508327
408	1.172363904
409	1.171339301
410	1.170362838
411	1.169277933
412	1.168418447
413	1.167256085
414	1.165977885
415	1.164958706
416	1.164318429
417	1.163213232
418	1.162389504
419	1.161591085
420	1.16113247
421	1.160156087
422	1.159118044
423	1.158158178
424	1.157572174
425	1.156367603
426	1.155264279
427	1.154067777
428	1.153448382
429	1.152444527
430	1.151369616
431	1.150388478
432	1.149353159
433	1.148645186
434	1.148001774
435	1.147219106
436	1.146122106
437	1.145104873
438	1.144170234
439	1.143460934
440	1.142024279
441	1.14157836
442	1.140686539
443	1.139613696
444	1.138960059
445	1.137885959
446	1.136839945
447	1.135945618
448	1.134837502
449	1.1339605
450	1.132830841
451	1.131491985
452	1.130707005
453	1.129999722
454	1.129193965
455	1.128421347
456	1.12787311
457	1.126471405
458	1.125314835
459	1.124560403
460	1.123306988
461	1.122482676
462	1.12138703
463	1.120764845
464	1.119823978
465	1.118811449
466	1.117841587
467	1.117312698
468	1.116699677
469	1.115760391
470	1.114734252
471	1.113911689
472	1.112624476
473	1.111662265
474	1.111120851
475	1.110455478
476	1.109386412
477	1.108267938
478	1.107398051
479	1.106531067
480	1.105487024
481	1.104423958
482	1.103605206
483	1.102796006
484	1.101915292
485	1.101207687
486	1.100147595
487	1.099555986
488	1.098788957
489	1.097659118
490	1.096814879
491	1.096046833
492	1.094761847
493	1.094089765
494	1.092963195
495	1.092094934
496	1.091202487
497	1.090288346
498	1.089138829
499	1.088360433
500	1.087271357
501	1.08665068
502	1.085621577
503	1.084377478
504	1.083466087
505	1.082661321
506	1.081826287
507	1.081017784
508	1.079936814
509	1.078817586
510	1.078046726
511	1.077183705
512	1.076351198
513	1.075802713
514	1.07519029
515	1.074773048
516	1.073930227
517	1.073033161
518	1.072209865
519	1.071183891
520	1.070463153
521	1.069746746
522	1.068954582
523	1.067947718
524	1.067063546
525	1.066600512
526	1.065839419
527	1.065138676
528	1.063910303
529	1.063406897
530	1.062472962
531	1.061945428
532	1.061172678
533	1.059823372
534	1.05901446
535	1.058598765
536	1.058080486
537	1.056954305
538	1.056346458
539	1.055519207
540	1.054708757
541	1.053729187
542	1.052824182
543	1.05201986
544	1.051000808
545	1.049981081
546	1.048659417
547	1.047699785
548	1.047131082
549	1.046135292
550	1.045448589
551	1.04461787
552	1.043767873
553	1.042523774
554	1.041518064
555	1.040769752
556	1.04034175
557	1.039565701
558	1.038984658
559	1.038330868
560	1.037783452
561	1.036715169
562	1.035960453
563	1.035322071
564	1.034619003
565	1.034106303
566	1.033696498
567	1.032869272
568	1.03221917
569	1.03148485
570	1.030704603
571	1.029513073
572	1.028666362
573	1.027763699
574	1.02722567
575	1.026717464
576	1.025719267
577	1.025197518
578	1.024296552
579	1.02374395
580	1.023272602
581	1.022663358
582	1.02174607
583	1.021395217
584	1.020757718
585	1.020209164
586	1.019896574
587	1.019291918
588	1.018654615
589	1.018072209
590	1.017567615
591	1.01672793
592	1.016174828
593	1.015819602
594	1.01533233
595	1.014680507
596	1.01376461
597	1.013053933
598	1.012099104
599	1.011172739
600	1.010392378
601	1.009210791
602	1.0087211
603	1.008221806
604	1.007629552
605	1.006765032
606	1.005968159
607	1.005430818
608	1.004741469
609	1.00402137
610	1.003250242
611	1.002701525
612	1.001715939
613	1.000999214
614	1.000141144
615	0.9995571239
616	0.9986929668
617	0.9979401465
618	0.9975832388
619	0.9967041993
620	0.9959490999
621	0.9951670115
622	0.9941896042
623	0.9935282563
624	0.9930987765
625	0.9924093441
626	0.9916578758
627	0.9905124454
628	0.9895108174
629	0.988697279
630	0.9884254823
631	0.9877679717
632	0.9869290419
633	0.9859597663
634	0.985105932
635	0.9842370908
636	0.9830153181
637	0.9821944436
638	0.981887174
639	0.9812400816
640	0.9803747118
641	0.9794506499
642	0.9786300791
643	0.9781408151
644	0.9775639953
645	0.9766072436
646	0.9757525905
647	0.9747446805
648	0.9741427786
649	0.9736212255
650	0.9727552802
651	0.9721424059
652	0.9714623682
653	0.9709647206
654	0.9704137423
655	0.9694512983
656	0.9688984857
657	0.9680452723
658	0.9671411447
659	0.9659968132
660	0.9652910321
661	0.9646508479
662	0.9642593883
663	0.9634369951
664	0.9626551606
665	0.9620802549
666	0.9611171375
667	0.9602660366
668	0.9597853765
669	0.95902001
670	0.9584493708
671	0.9576801651
672	0.9568175694
673	0.9562208625
674	0.9554375488
675	0.9551927547
676	0.954429304
677	0.9534119116
678	0.9532372912
679	0.9523405336
680	0.9516502179
681	0.9507893976
682	0.9497981102
683	0.9489856286
684	0.948292668
685	0.9478095575
686	0.9471097484
687	0.9461961841
688	0.9455036438
689	0.9450186425
690	0.9441851113
691	0.9436735971
692	0.9434256694
693	0.942813207
694	0.9423157159
695	0.9415684992
696	0.9410241429
697	0.9404554671
698	0.9397737959
699	0.9392025508
700	0.9384857229
701	0.9376629418
702	0.9370488262
703	0.9364761438
704	0.9360664225
705	0.9355758684
706	0.9350062016
707	0.9340575225
708	0.9332113989
709	0.9327265446
710	0.9321135306
711	0.9313400531
712	0.9307165757
713	0.9295697491
714	0.9290422375
715	0.9281196488
716	0.927147754
717	0.9266429225
718	0.9256600064
719	0.9252743692
720	0.9246342122
721	0.9239882169
722	0.9234120697
723	0.9226931567
724	0.9218027272
725	0.9211474863
726	0.9203959693
727	0.9192803745
728	0.9187707036
729	0.917770863
730	0.9173461295
731	0.9167832026
732	0.9162971866
733	0.9157004527
734	0.9154993033
735	0.9149684862
736	0.9141513289
737	0.9134103571
738	0.9127030238
739	0.9123097564
740	0.9117473779
741	0.9110486013
742	0.9104187977
743	0.9097166113
744	0.9089430738
745	0.9079935974
746	0.9071715045
747	0.9065282795
748	0.9059997917
749	0.9050969901
750	0.9044135669
751	0.9036295255
752	0.9031222623
753	0.9025272059
754	0.9017739766
755	0.9010839739
756	0.8997357415
757	0.899228641
758	0.8988755012
759	0.8984219359
760	0.8976541414
761	0.8966307273
762	0.8955944457
763	0.8948202889
764	0.8943167568
765	0.8937736368
766	0.8931335421
767	0.8926553614
768	0.8918886746
769	0.8914002545
770	0.8909017578
771	0.8901761643
772	0.889445414
773	0.8890397415
774	0.8888339516
775	0.8886377215
776	0.8881263632
777	0.8877356868
778	0.8867285999
779	0.8861547175
780	0.8855212509
781	0.8851174068
782	0.8842943925
783	0.8837126692
784	0.8830692288
785	0.882202341
786	0.8815393319
787	0.8810623426
788	0.8802659975
789	0.879342619
790	0.8785576497
791	0.8779178988
792	0.8774639831
793	0.8766997202
794	0.8764123268
795	0.875891755
796	0.875293567
797	0.8747255239
798	0.873828093
799	0.8732507088
800	0.872703889
801	0.872104412
802	0.8711424411
803	0.8704644994
804	0.8701647175
805	0.8697118036
806	0.869292365
807	0.8689607855
808	0.8682210956
809	0.8676223687
810	0.8668465246
811	0.8662897064
812	0.8658911133
813	0.8652783726
814	0.8648988755
815	0.864641419
816	0.8640908221
817	0.8635834986
818	0.8632478763
819	0.862535496
820	0.8620630289
821	0.8614244139
822	0.8611153817
823	0.8606443153
824	0.8600917813
825	0.8594560674
826	0.8589446312
827	0.8584234431
828	0.8577750452
829	0.8573448665
830	0.8568065958
831	0.8564041692
832	0.8556967146
833	0.8549364665
834	0.8542318558
835	0.8536655169
836	0.8530678747
837	0.8522901691
838	0.8516168105
839	0.8513369359
840	0.8508364376
841	0.8502751481
842	0.8496653477
843	0.8490505478
844	0.8487539336
845	0.8480786637
846	0.8474647508
847	0.8470578942
848	0.8462691471
849	0.8456739673
850	0.8454036852
851	0.8445625378
852	0.8441443847
853	0.8436016574
854	0.8429606417
855	0.8423287305
856	0.8419380729
857	0.84141562
858	0.8405613845
859	0.840332191
860	0.8394095946
861	0.8391059891
862	0.8386548499
863	0.8381187349
864	0.8375562441
865	0.8371355373
866	0.8368775911
867	0.836184254
868	0.8355498727
869	0.8347455126
870	0.8339191616
871	0.8333137832
872	0.8327125489
873	0.8323247441
874	0.8319764777
875	0.8310221714
876	0.8303458488
877	0.8297849652
878	0.8290402759
879	0.8284548692
880	0.827874033
881	0.8272457951
882	0.826937663
883	0.8264825251
884	0.8259240282
885	0.8251506916
886	0.8246738135
887	0.8242231084
888	0.8234757644
889	0.8229536574
890	0.8223178064
891	0.8219030774
892	0.8212738587
893	0.8206500381
894	0.8196087062
895	0.8191478718
896	0.8186649185
897	0.8181948734
898	0.8177717149
899	0.8169614548
900	0.8164608144
901	0.8160908502
902	0.8155537061
903	0.8148701422
904	0.8144609033
905	0.814060851
906	0.8133054257
907	0.8128765434
908	0.8122544522
909	0.8119225465
910	0.8110544128
911	0.8106466918
912	0.809889412
913	0.8094197356
914	0.8087458241
915	0.8079285703
916	0.8073621633
917	0.8068191207
918	0.8065344472
919	0.8060949972
920	0.805619017
921	0.805285306
922	0.8049655109
923	0.8041260703
924	0.8036254464
925	0.803322422
926	0.8029499262
927	0.8024859682
928	0.8022478812
929	0.8015841321
930	0.8011755206
931	0.8003877448
932	0.7998505944
933	0.7993579102
934	0.798832162
935	0.7985308021
936	0.797735691
937	0.7973836303
938	0.7968231659
939	0.7961548259
940	0.7957859555
941	0.795052574
942	0.79428662
943	0.7939254431
944	0.793346041
945	0.7926718818
946	0.7922664616
947	0.7914972034
948	0.7909312677
949	0.7905655786
950	0.7898769599
951	0.7894115691
952	0.7888521178
953	0.7883936374
954	0.7879528936
955	0.7874333215
956	0.7869701842
957	0.7866330325
958	0.7861728497
959	0.785581815
960	0.7851244659
961	0.7847606335
962	0.7841205352
963	0.783760734
964	0.7833548501
965	0.782887512
966	0.7823980471
967	0.7818702053
968	0.7814708798
969	0.7809756029
970	0.7802121373
971	0.7796079901
972	0.7788132643
973	0.7781837128
974	0.777595398
975	0.7774252837
976	0.7769156977
977	0.7765232993
978	0.776187728
979	0.7755426009
980	0.7750948373
981	0.7745875258
982	0.7739192111
983	0.7736470678
984	0.7730279761
985	0.7725902262
986	0.7721651041
987	0.7717496978
988	0.7715721473
989	0.7709861037
990	0.7706671845
991	0.7702078542
992	0.7694943474
993	0.7691551823
994	0.768630485
995	0.7681129991
996	0.7678453094
997	0.7673008418
998	0.7668384887
999	0.7662411763
