iter	Passed	Remaining
898	3748815	421168
899	3751910	416878
900	3755111	412603
901	3758372	408337
902	3761722	404083
903	3764962	399819
904	3768194	395556
905	3771417	391295
906	3774379	387009
907	3777534	382745
908	3780614	378477
909	3783871	374229
910	3787215	369991
911	3790270	365727
912	3793475	361481
913	3796683	357237
914	3799783	352985
915	3803067	348752
916	3806314	344519
917	3809415	340274
918	3812744	336052
919	3815871	331814
920	3819048	327583
921	3822224	323355
922	3825504	319137
923	3828867	314928
924	3832093	310710
925	3835164	306481
926	3838377	302267
927	3841570	298052
928	3844678	293834
929	3847723	289613
930	3850892	285404
931	3854172	281205
932	3857422	277006
933	3860686	272810
934	3863909	268614
935	3867020	264411
936	3870188	260215
937	3873438	256026
938	3876543	251830
939	3879769	247644
940	3883067	243465
941	3886102	239271
942	3889364	235094
943	3892658	230920
944	3895737	226736
945	3898946	222561
946	3902138	218387
947	3905308	214215
948	3908553	210048
949	3911627	205875
950	3914979	201718
951	3918156	197554
952	3921333	193392
953	3924683	189240
954	3927695	185074
955	3930858	180918
956	3934064	176765
957	3937205	172612
958	3940290	168458
959	3943422	164309
960	3946665	160166
961	3949907	156025
962	3953078	151883
963	3956331	147746
964	3959591	143612
965	3962654	139472
966	3965867	135339
967	3969001	131206
968	3972027	127072
969	3975083	122940
970	3978217	118813
971	3981409	114690
972	3984546	110568
973	3987678	106447
974	3991162	102337
975	3994433	98223
976	3997727	94112
977	4000966	90001
978	4004068	85889
979	4007254	81780
980	4010563	77676
981	4013804	73572
982	4016880	69467
983	4020018	65366
984	4023520	61271
985	4026738	57174
986	4029987	53079
987	4033056	48984
988	4036205	44892
989	4039386	40801
990	4042559	36713
991	4045588	32625
992	4048813	28541
993	4051967	24458
994	4055242	20378
995	4058411	16298
996	4061609	12221
997	4064760	8145
998	4068075	4072
999	4071222	0
